TG
YBR109C
YBR110W
YBR159W
YCL008C
YCL009C
YCL010C
YCR002C
YCR004C
YCR005C
YCR008W
YCR012W
YDL092W
YDR179C
YDR179W-A
YDR282C
YDR372C
YDR373W
YFR007W
YHR171W
YIL014W
YJR088C
YJR089W
YJR100C
YLR097C
YNL284C
YNR054C
YOR115C
YOR367W
YMR202W
YIR019C
YHR137W
YCL002C
YCR006C
YDL094C
YDR210C-D
YER138C
YOR365C
YPL113C
