YORF,05_min,10_min,15_min,20_min,20-bis_min,40_min,60_min,80_min
YHR178W,0.3855,0.2185,0.4805,0.4835,0.4095,0.457,0.529,0.37
YGL018C,0.183,0.349,0.385,0.223,0.447,0.235,0.271,0.293
YNL249C,-0.346,0.182,-0.141,0.36,-0.05,-0.436,0.187,0.077
YPL139C,4.237,3.471,4.17,4.17,3.087,3.246,1.807,2.17
YPL267W,-0.007,0.259,-1.947,-1.176,-1.372,-0.363,0.617,0.74
YDR530C,0.067,0.123,0.203,-1.345,0.359,0.267,-0.776,-0.883
YJL127C,0.2363,0.2717,-0.5593,1.788,-0.2257,0.2393,0.0,-0.0713
YPR150W,0.734,1.49,2.0,2.358,1.616,0.531,0.058,0.343
YPL063W,0.167,-0.152,-0.202,-0.027,-0.664,-0.725,-0.87,-0.554
YPL247C,2.619,3.521,3.7175,3.1825,2.8855,1.276,0.688,0.5595
YMR321C,-0.198,-0.508,-1.944,-1.983,-2.035,-1.157,-0.775,-0.599
YPR088C,-0.153,-0.148,-0.203,-0.429,-0.729,0.008,0.013,-0.23
YGR059W,2.74,4.087,2.585,1.322,3.1662,2.585,1.7025,3.0894
YIL133C,-0.2945,-0.673,-2.0235,-2.2305,-2.6465,-1.3105,-0.8635,-1.054
YDR519W,-0.525,0.434,-0.017,-0.444,-0.747,0.33,-0.297,-0.674
YKL045W,1.115,0.0235,0.264,0.5625,1.4925,1.1005,0.8492,1.4763
YLR026C,-0.39,-0.53,-0.452,-0.171,-0.092,-0.544,0.12,0.059
YGR075C,-0.379,-0.2,-0.495,-0.616,-0.526,-0.716,-0.653,-0.385
YPL244C,-0.444,-0.226,-0.517,-0.726,-0.941,0.096,0.089,-0.22
YML128C,3.379,5.766,6.859,6.417,6.4,3.943,2.248,2.221
YDL225W,0.226,0.484,0.256,0.311,0.057,-0.095,0.379,0.214
YHR219W,-0.0985,0.2225,0.507,0.584,0.224,0.1735,0.311,0.159
YKR084C,0.204,0.267,0.441,0.344,0.265,0.597,0.318,0.414
YKL223W,0.219,0.098,-0.338,-0.726,-1.113,-0.449,-0.164,-0.544
YIL148W,-0.712,-1.0265,-1.5795,-1.6495,-1.455,-1.543,-1.1435,-0.741
YBR124W,-0.078,0.076,-0.025,-0.292,-0.083,-1.068,-0.42,-0.196
YOR341W,1.2055,1.1145,1.591,3.601,-0.1925,-0.148,0.323,-0.451
YLR028C,0.457,0.458,1.196,1.408,1.348,0.659,0.722,0.48
YNL173C,1.695,1.753,1.928,1.936,2.106,1.256,0.5,1.022
YOR050C,0.379,-0.035,-0.242,0.194,-0.443,-1.436,-0.298,-0.267
YCR053W,-0.173,0.061,-0.163,-0.3622,-0.935,-0.16,-0.447,-0.671
YMR117C,3.367,2.27,-0.585,4.102,2.0,-0.928,1.0,1.222
YDR256C,0.131,-0.731,-0.224,1.906,-0.558,-0.13,-0.324,-1.503
YMR277W,-0.555,-0.064,-0.17,-0.3407,-0.661,-0.08,-0.046,-0.254
YDR108W,0.018,0.212,0.031,-0.24,-0.3,-0.1713,0.08,0.087
YPL091W,0.689,1.039,1.028,1.047,0.571,0.205,-0.02,-0.135
YLR190W,-0.469,-0.049,-0.083,-0.476,-0.648,-0.67,-1.132,-0.223
YDR102C,-0.801,-0.242,-0.309,-0.536,-0.383,-0.2805,-0.613,-0.345
YOL032W,2.943,3.213,2.547,2.431,2.574,1.217,1.433,1.202
YML113W,-1.067,-0.683,-0.842,-1.075,-1.639,-0.352,-0.293,-0.4
YIR035C,-0.0655,0.04,-0.825,-0.603,-0.9575,-0.789,0.2915,-0.208
YDR472W,-0.087,0.24,-0.347,-0.238,-0.594,-0.586,-0.034,0.0
YHR185C,0.9045,0.013,-1.4015,-0.7967,-1.972,-1.5004,-2.524,-1.5303
YLL019C,1.0235,0.9315,1.734,1.1685,1.559,0.8705,0.696,0.6855
YLL048C,-0.3165,-1.129,-0.6445,-0.6475,-1.2095,-0.1615,-0.538,-0.836
YKL203C,2.527,1.051,0.0825,0.7955,0.9382,1.0491,0.8525,-0.688
YJR088C,0.3045,0.5125,0.4045,0.6455,0.619,-0.0455,0.4695,0.731
YKL195W,0.487,1.314,1.503,1.705,1.505,0.577,0.533,0.451
YIL083C,-0.3665,-0.0025,-0.403,-0.128,-0.6315,-0.132,0.0355,0.145
