YORF,05_min,10_min,15_min,20_min,20-bis_min,40_min,60_min,80_min
YGR005C,-0.109,-0.226,-0.105,-0.11,0.016,-0.663,-0.106,0.048
YJR158W,0.129,0.6135,0.783,0.642,0.7725,0.243,0.3845,0.576
YOR040W,0.147,0.917,1.193,0.162,0.763,0.303,0.577,0.515
YKL048C,-0.895,-0.374,-0.733,-0.4475,-0.962,-0.3565,-0.1855,-0.3365
YPL165C,1.905,2.897,2.691,2.456,2.172,1.569,0.807,0.862
YGR056W,-0.512,-0.303,-0.03,-0.445,-0.707,-0.008,-0.055,-0.373
YLR249W,-0.204,-2.069,-2.818,-3.81,-3.122,-1.868,-0.962,-0.88
YBR085W,0.455,0.454,-0.433,-0.035,0.445,0.054,0.249,0.216
YML133C,0.038,0.362,-0.254,0.551,-0.678,0.356,-0.292,-0.566
YIL051C,0.2415,0.7685,0.812,0.7925,0.636,0.2935,-0.089,0.2495
YNL178W,0.224,-0.342,-1.947,-2.367,-2.425,-1.931,-0.608,-0.418
YHR206W,-1.2165,-1.786,-1.169,-0.9185,-1.222,-0.8415,-0.7325,-0.6805
YKL210W,0.162,-0.575,0.769,0.697,0.979,1.294,0.486,0.516
YLR377C,0.893,1.0415,0.4305,0.047,0.2475,-0.145,0.02,0.1996
YIL116W,0.362,0.6455,0.431,0.5425,0.4015,0.901,0.8505,0.8155
YPR124W,0.044,0.722,1.212,1.2161,0.954,0.566,0.229,-0.113
YJR148W,0.3085,0.834,1.727,0.518,1.9095,1.423,1.118,0.557
YPL021W,3.036,3.511,2.9178,3.632,-1.807,1.485,0.807,2.04
YLR444C,-0.152,-0.164,-0.372,-0.542,-0.538,-0.488,-0.437,-0.307
YGR135W,-0.1685,-0.0275,0.093,0.345,0.429,-0.082,0.08,0.0045
YPR108W,0.163,0.871,0.998,1.092,0.811,0.686,0.292,0.254
YJL212C,-1.1055,-1.8255,-1.14,-1.3655,-0.987,-0.6835,-0.7075,-0.961
YCR081W,0.087,-0.274,0.077,0.361,0.268,-0.163,0.145,0.222
YCR042C,0.012,-1.007,-0.261,2.7,0.173,0.051,0.206,0.186
YGL230C,4.568,3.081,1.9403,4.0032,3.907,3.34,1.3988,3.807
YOR304C-A,3.381,2.046,0.392,2.17,1.6176,2.046,0.222,0.263
YGR088W,4.155,5.667,6.373,2.723,5.936,3.673,1.61,1.244
YMR245W,0.479,0.181,-0.31,0.162,0.099,-0.662,0.52,0.464
YGR186W,0.0395,0.0425,0.164,0.2018,0.1835,-0.501,-0.0215,0.052
YDL101C,0.301,0.627,0.529,1.17,0.363,-0.034,0.062,0.147
YOR385W,0.982,1.193,0.465,0.967,-0.044,1.091,-0.181,-0.1771
YHL037C,0.18,1.2375,-0.0955,0.1835,-0.063,0.0119,-0.3575,-0.2835
YKL173W,-0.3,-0.145,-0.43,-0.5298,-0.641,-0.274,-0.297,-0.484
YCR030C,0.191,0.61,-0.109,-0.4005,-0.6265,-0.6225,-0.3545,-0.275
YML080W,-2.255,-1.768,-2.221,1.907,-2.019,0.164,-0.596,-0.776
YML042W,0.507,0.415,1.768,1.872,1.318,0.65,-0.262,-0.702
YGL253W,0.701,0.86,0.837,0.5218,0.189,-1.034,-0.277,-0.093
YNL307C,-0.315,-0.382,0.126,-0.145,-0.289,-0.658,-0.571,-0.813
YKL186C,-0.18,-0.222,-0.751,-0.815,-0.629,-0.576,-0.075,0.123
YDL231C,0.0955,0.0605,-0.116,-0.272,-0.803,0.032,-0.3705,-0.4115
YEL036C,-0.25,-0.383,-0.48,-0.44,-0.392,-0.08,-0.022,-0.091
YGR173W,-0.373,-1.7015,-2.503,-1.765,-1.71,-0.761,0.106,0.225
YHR065C,-1.502,-3.0535,-3.0405,-2.515,-2.4595,-0.3975,-0.1565,0.1545
YDR380W,1.465,4.069,5.331,4.505,4.696,2.954,1.214,1.17
YJL009W,-0.1585,-0.116,-0.814,-0.4855,-0.715,-1.003,-0.3395,-0.4385
YKR096W,0.225,0.699,0.844,0.507,0.338,0.536,0.15,-0.058
YMR013C,-0.113,0.03,0.142,-0.287,-0.585,0.724,0.079,-0.069
YDL183C,0.213,0.4955,0.476,1.0515,0.33,-0.207,-0.0105,-0.0405
YOR030W,0.78,-1.127,0.112,2.822,0.69,0.542,0.775,0.191
YKL163W,0.039,0.97,1.74,1.5808,1.452,1.267,0.127,-0.501
YJR125C,0.832,1.648,1.614,2.037,1.4145,1.0665,0.5665,0.54
YMR304C-A,-0.326,-0.447,-0.31,-0.336,-2.256,-0.932,-0.854,-1.698
YNL172W,0.8715,0.8125,0.7785,1.2365,-0.101,0.2925,-0.6275,-0.219
YOR273C,3.918,3.4995,3.782,1.599,3.0665,1.325,1.019,1.2155
YBL047C,0.4905,0.098,1.2315,0.9185,0.8935,0.8415,0.2215,0.2135
YPL015C,0.592,0.887,0.324,1.467,-0.604,0.336,-0.242,0.009
YKL033W,-0.554,-1.0085,-0.802,-0.6315,-0.6385,0.239,0.011,-0.0635
YDR540C,1.53,1.081,0.906,-1.727,0.751,0.07,0.612,0.482
YDL103C,0.604,0.705,0.669,0.4856,0.721,-0.111,0.579,0.191
YMR213W,0.237,0.652,0.14,0.349,0.137,1.443,-0.113,0.3
YML127W,0.285,0.402,0.877,0.563,0.694,0.106,0.043,0.493
YJL171C,0.214,1.1847,1.1093,2.3586,0.474,0.595,-0.1647,-0.44
YNR045W,0.807,1.248,1.069,1.027,0.68,0.379,-0.155,0.18
YBR264C,0.097,0.226,-0.179,-0.172,-0.361,-0.549,-0.091,0.324
YGR011W,0.452,0.832,0.746,0.603,0.626,-0.049,0.387,0.349
YER145C,-0.133,-0.317,-0.187,-0.932,-0.764,0.062,0.836,0.475
YBR277C,0.531,0.38,-0.089,0.285,-0.181,-0.585,0.355,0.57
YDR188W,-0.278,-0.408,-0.282,-0.324,-0.202,0.063,-0.043,-0.165
YGL065C,0.111,-0.005,0.27,0.3607,0.145,-0.208,0.089,0.011
YDR048C,0.473,-0.4,-1.112,0.113,-0.281,0.017,0.0263,-0.212
YOR128C,0.364,0.19,1.544,1.558,1.238,1.477,0.972,0.548
YOL109W,0.711,0.86,-0.608,2.524,-0.686,-0.419,0.937,1.258
YOR002W,-0.417,-0.787,0.038,-0.23,-0.103,0.132,-0.125,-0.367
YBR201W,0.437,1.03,0.521,0.551,0.535,-0.249,0.244,0.315
YMR181C,1.046,1.997,2.286,1.989,1.792,0.714,0.547,0.489
YGR145W,-0.843,-2.7705,-5.2837,-6.346,-5.902,-2.435,-1.0695,-0.582
YOR286W,-0.124,-0.105,-0.038,0.547,0.301,0.22,0.129,-0.022
YNL171C,0.651,0.44,0.323,0.167,-0.075,-0.353,-0.12,0.01
YGL043W,0.335,0.114,-0.28,-0.213,-0.277,-0.201,0.344,0.536
YDR488C,0.001,0.138,-0.124,-0.355,-0.381,-0.226,0.423,0.103
YCR088W,0.677,1.331,1.773,1.424,1.338,1.512,1.156,0.308
YGR065C,-0.749,-1.098,-0.432,-0.482,-0.296,0.511,0.146,-0.031
YOR026W,0.075,-0.784,-0.401,0.342,-0.75,-0.939,0.26,-0.231
YBR219C,-0.397,-0.394,-0.629,-0.596,-0.735,-0.175,-0.329,-0.468
YKL152C,0.552,0.946,0.65,0.759,0.545,0.069,0.156,-0.016
YAL035W,1.8675,2.8875,0.7611,2.4275,0.2225,2.299,0.3523,1.2135
YLR280C,0.637,1.451,0.602,1.92,0.047,1.122,-0.4355,-0.905
YPL262W,0.0725,0.6985,1.2185,1.027,0.812,1.1395,0.756,0.4
YCL026C-A,-0.25,-0.47,-2.0,0.867,-2.178,-1.422,-0.604,-0.627
YOL050C,0.309,1.133,0.37,0.704,0.233,0.079,0.186,0.233
YML082W,-0.955,-1.133,-1.12,-0.8275,-1.497,-0.627,-0.687,-0.765
YNR002C,1.351,3.157,3.999,3.28,1.509,0.904,0.13,-0.085
YPL227C,-0.604,-0.163,-1.38,-0.6262,-1.407,-0.142,-0.414,-0.485
YEL031W,0.458,0.6355,0.0125,0.612,-0.8115,-0.2295,-0.5145,-0.725
YJL147C,-0.3285,-0.028,0.0495,0.104,-0.3955,0.2305,-0.2215,-0.4545
YMR297W,0.46,1.527,2.292,1.912,1.743,2.22,0.952,0.755
YML021C,-0.34,-0.614,-0.364,-0.468,-0.355,-0.826,-0.165,-0.376
YOR196C,-0.478,-0.832,-0.966,-0.589,-0.597,-0.617,-0.399,-0.136
YIL171W,0.3225,0.551,0.063,0.217,-0.2865,-0.1935,-0.1945,-0.5865
YER095W,0.147,0.29,0.824,0.965,0.65,0.945,0.533,0.104
YBL040C,0.357,0.908,0.663,0.481,0.292,0.105,0.039,0.193
YAL044C,0.095,0.909,0.889,1.071,1.035,1.324,1.437,1.179
YGR033C,-0.642,-0.296,-0.072,-0.203,-0.057,-0.236,-0.03,-0.084
YBL075C,2.125,3.39,4.479,0.922,3.87,2.222,1.573,1.417
YDL112W,0.5435,0.0155,-0.4695,2.6415,-0.617,-0.5975,-0.2475,-0.5395
YBR007C,0.675,0.483,0.737,0.361,0.179,1.169,0.673,0.194
YIR044C,0.318,0.945,1.7675,0.487,0.214,0.2635,-0.107,-0.404
YCL039W,0.686,1.308,0.3225,0.985,0.5085,0.9475,-0.319,0.484
YJR076C,-0.2075,0.209,0.0285,-0.3175,-0.6605,0.002,0.35,0.3125
YBR071W,-0.532,0.3565,0.158,-0.3335,-0.5535,0.608,0.5065,-0.233
YGR096W,-0.254,0.941,0.423,0.2166,-0.582,0.143,-0.582,-0.919
YJR048W,0.2465,1.0475,0.46,4.72,0.514,0.9715,1.5055,1.3605
YGL066W,0.9255,0.59,0.271,0.191,0.077,-0.004,0.179,0.0065
YDL245C,1.127,0.354,0.555,0.257,0.102,0.052,0.03,-0.056
YLR119W,0.637,1.317,0.667,0.825,0.589,0.19,-0.163,0.105
YBL045C,0.532,1.426,1.85,1.673,1.638,1.027,0.636,0.595
YJL207C,1.4253,1.205,-0.2847,0.3263,-0.468,0.6963,0.0067,1.2098
YFL040W,0.025,0.899,0.878,0.418,0.424,1.902,0.49,0.064
YBR206W,-0.413,-0.006,-0.504,-0.793,-1.201,-0.198,-0.337,-0.675
YDR207C,0.5155,1.0665,0.0555,1.4155,-0.3965,0.4545,0.059,0.714
YFR019W,1.341,0.9,0.7595,0.7655,0.2145,0.119,0.934,0.9245
YDR352W,-0.534,-0.276,-0.265,1.072,-0.679,-0.419,-0.322,-0.242
YPR094W,-0.498,0.397,-0.207,0.2,0.096,-0.306,-0.018,-0.09
YGR120C,0.1195,0.3395,-0.099,-0.18,-0.228,-0.231,0.117,0.2205
YPL170W,0.827,1.062,0.216,0.604,0.374,0.466,1.042,0.67
YDR217C,0.232,-0.134,-0.623,-0.599,-0.276,-0.3,0.019,-0.167
YFR033C,0.429,1.505,0.955,2.172,1.342,0.316,0.69,0.76
YNL278W,0.221,0.638,-0.328,-0.438,-0.656,-0.293,0.129,-0.202
YHL035C,0.3387,0.2197,1.5503,1.4523,1.5127,0.484,-0.0587,-0.1607
YFR048W,-0.004,0.078,0.109,0.135,-0.081,-0.068,0.247,0.007
YFL042C,0.938,2.037,2.078,1.922,1.661,1.089,0.534,0.531
YLL003W,-0.008,-0.714,-0.355,-0.328,-0.263,-0.261,0.117,0.27
YPL211W,-0.57,-2.36,-4.373,-3.9321,-3.949,-2.598,-1.229,-1.1
YOR215C,0.27,1.166,1.161,1.0544,1.458,-0.15,0.344,0.151
YNL272C,0.019,0.053,0.0,0.052,-0.109,-0.052,-0.136,-0.141
YLR115W,-0.448,-0.887,-0.077,0.134,0.158,-0.224,0.326,0.152
YBR162C,-0.459,-0.81,-1.2,-1.987,-1.552,-1.212,-0.63,-1.085
YHR107C,0.1895,0.2665,0.272,0.484,0.188,-0.4715,0.2475,0.27
YHR009C,0.289,0.448,0.612,0.9695,0.23,0.538,0.278,0.0975
YGR095C,-0.422,-0.585,-0.899,-0.698,-1.07,-1.02,-0.367,-0.229
YMR087W,0.069,0.594,0.397,0.088,-0.241,0.306,0.195,-0.098
YHR159W,0.3395,0.61,1.3935,0.7305,0.6475,0.3195,0.1095,-0.007
YDR171W,6.315,6.617,6.083,5.884,5.56,3.369,3.422,3.317
YGL019W,0.041,0.595,0.446,0.043,-0.133,-0.239,-0.122,-0.041
YKL041W,0.9295,1.9175,1.1099,1.6763,1.651,1.2944,0.9553,0.65
YDR362C,0.321,-0.086,0.036,0.021,0.004,-0.117,0.423,0.291
YER126C,-1.155,-2.129,-3.132,-5.661,-2.634,-1.396,-0.645,-0.487
YHR136C,-0.9205,0.104,-0.182,4.1531,-0.777,-0.267,-0.6085,-1.512
YOL055C,0.501,1.192,0.943,1.062,0.807,0.975,1.029,0.913
YJR036C,1.423,1.888,1.871,3.0515,1.5885,0.106,0.2875,0.208
YIL163C,0.8985,0.1795,-0.0565,-0.6445,-0.6825,1.125,-0.561,-2.13
YBR287W,0.823,1.394,1.885,1.455,1.579,1.059,0.322,0.095
YBR254C,-0.455,-0.233,-0.816,-0.5935,-0.925,-0.494,-0.378,-0.034
YLR289W,0.391,1.2,0.863,0.808,0.553,-0.1,0.371,0.478
YLR400W,-1.067,-2.423,-2.37,-2.815,-2.461,-1.118,-0.422,-0.69
YLR215C,-1.074,-0.786,-0.973,-0.947,-0.888,-0.7949,-0.529,-0.3
YBR011C,0.183,0.73,0.429,0.074,-0.181,0.019,0.179,-0.071
YDR037W,0.03,-0.635,-1.688,-2.075,-2.165,-1.075,-0.684,-1.06
YGL169W,-1.9,-2.471,-1.767,-1.9734,-2.256,-0.522,-0.797,-0.885
YMR143W,0.22,-0.154,-1.513,0.124,-2.24,-1.637,-1.267,-0.744
YMR017W,1.368,1.055,0.921,-0.119,-0.036,-0.87,-0.371,-0.504
YHR080C,0.553,0.4095,1.1355,0.8735,0.7865,0.428,-0.4145,-0.2365
YDR098C,0.08,0.123,-0.252,-0.098,-0.025,0.127,0.211,0.281
YJR135C,-0.32,0.5425,-1.406,1.5235,-1.0195,-1.669,0.07,0.1625
YDR535C,-0.333,0.743,0.608,0.1838,-0.373,0.103,-0.564,-1.193
YGR085C,-0.083,-1.283,-2.061,-0.901,-1.952,-1.491,-0.362,0.035
YMR294W,0.582,0.411,-0.107,0.56,0.28,-0.065,0.572,0.899
YDR225W,0.286,0.303,-0.927,-1.412,-1.554,-2.164,-0.184,-0.228
YGL205W,1.881,0.356,0.398,1.004,0.184,0.248,-0.1,0.131
YER110C,-0.052,-2.024,-2.284,-2.7238,-3.748,-1.949,-0.883,-0.732
YIL072W,4.812,5.706,0.2925,1.553,1.6633,1.4149,-0.2295,1.8551
YGL095C,-0.17,0.229,0.781,0.157,-0.004,0.149,0.011,-0.073
YOR329C,0.332,0.597,1.127,-5.555,0.849,0.916,0.136,0.209
YER056C-A,-0.267,-0.57,-2.006,-1.468,-1.803,-2.123,-0.945,-0.352
YAR075W,0.01,-0.441,-1.707,-1.923,-0.985,-1.42,-0.954,-0.926
YOR144C,-0.356,-0.369,-0.316,-0.354,-0.337,0.021,0.598,0.676
YCL032W,0.089,-0.262,0.146,-0.405,0.354,-0.023,0.185,0.015
YER022W,0.581,0.232,0.23,0.226,0.329,0.024,0.387,0.579
YJR102C,1.5945,0.9615,-0.403,1.071,1.7365,1.3895,1.0242,2.226
YGL250W,1.055,1.435,1.853,2.676,1.372,0.482,0.145,0.035
YGR232W,-0.0095,0.803,0.7845,0.565,0.504,0.372,-0.056,0.095
YBR212W,0.817,1.417,1.814,1.326,1.223,1.085,0.089,-0.035
YBR139W,1.331,2.369,2.977,3.848,2.63,2.067,0.865,1.36
YJL139C,-0.2625,0.0575,0.1055,0.1375,-0.0845,-0.4605,-0.0455,-0.171
YDL242W,-0.117,0.368,0.218,-0.146,-0.016,0.176,-0.016,-0.437
YOR023C,0.292,0.838,0.819,0.365,0.633,0.27,0.052,-0.012
YDR066C,-0.517,-0.234,0.072,0.015,0.361,-0.54,-0.75,0.673
YPR187W,-0.863,-2.245,-2.333,-1.773,-1.649,-1.649,-0.815,-0.628
YMR081C,1.053,2.043,1.638,1.345,0.696,0.122,0.055,-0.202
YGR255C,3.492,1.9305,1.5743,2.5505,2.0747,2.2095,-0.3435,1.2258
YCR054C,-0.034,-0.4015,-0.7105,-0.262,-0.584,0.0455,-0.299,-0.149
YGR027C,0.259,-0.236,-1.27,-1.296,-1.591,-1.563,-0.385,-0.386
YDR145W,-0.098,-0.082,-0.095,-1.138,-0.144,-0.477,-0.123,-0.011
YLL010C,0.144,0.65,0.238,-0.201,-0.356,0.014,-0.465,-0.168
YOR339C,2.118,2.474,0.63,3.278,0.579,-1.269,0.676,-1.12
YER049W,-0.763,-3.08,-2.706,-2.631,-2.312,-1.102,-0.556,-0.269
YHR102W,-0.3855,-0.2775,0.1165,0.062,0.452,0.2215,0.292,0.397
YKR099W,-1.807,-3.185,-2.945,-2.713,-2.11,-1.34,-0.377,-0.36
YDR410C,-0.552,-0.357,-0.072,-0.182,-0.081,-0.005,-0.136,-0.213
YGR295C,0.5205,0.921,1.2325,0.1995,0.714,0.2755,0.0405,-0.1445
YOR113W,1.069,1.0,1.296,1.351,1.078,0.964,0.335,0.366
YPL114W,0.619,1.005,0.508,0.9463,0.878,1.535,0.849,1.218
YMR192W,0.067,0.319,0.397,0.514,0.045,0.632,0.053,0.012
YNL231C,0.336,-0.169,0.303,0.76,0.442,-0.285,0.472,0.13
YGR008C,2.061,3.769,3.569,2.784,3.526,2.106,0.973,0.882
YJL106W,1.279,1.6155,0.4965,1.2455,1.0055,0.0095,0.388,0.255
YLR414C,0.03,1.155,0.911,0.097,0.24,0.467,-0.11,-0.407
YBR128C,0.8,0.366,0.2595,0.2305,0.095,-0.761,-0.3545,-0.1865
YGL035C,1.223,1.254,1.219,1.176,1.218,0.035,0.094,0.383
YJL036W,0.7107,1.0607,0.9613,1.075,0.3737,0.0667,0.1533,0.0473
YBR054W,1.397,1.952,2.032,1.415,1.066,1.167,0.858,1.584
YKL137W,-0.099,0.588,-0.08,0.362,0.29,-0.271,-0.039,-0.056
YOR021C,-0.632,-1.325,-2.424,-2.166,-2.232,-1.715,-0.974,-0.753
YPR003C,0.538,0.013,1.422,1.528,1.437,0.783,0.454,0.175
YAR061W,0.089,0.395,0.069,0.1627,-0.111,0.377,-0.345,-0.483
YLR123C,0.642,0.755,-0.385,-0.86,-0.133,-0.0222,-0.426,-0.415
YPR197C,-0.038,0.118,0.642,0.312,0.029,-0.086,-0.234,-0.651
YIR023W,0.149,-0.567,-0.0175,0.6675,-0.044,-0.4575,0.321,0.35
YKL157W,-0.198,-2.177,-0.714,-1.421,-1.118,-0.864,-0.515,-1.436
YFR034C,0.9525,2.164,-0.5505,1.6543,2.001,1.6864,1.1383,1.4591
YLR442C,0.6,0.7225,-0.0485,0.5005,-0.0935,-0.02,-0.265,0.965
YKL108W,-0.382,-0.329,-0.556,-0.957,-0.436,-0.148,-0.21,-0.412
YLR339C,0.471,0.124,-0.735,-1.456,-1.626,-1.597,-0.563,-0.83
YKR029C,2.33,1.874,3.322,-0.167,2.874,2.0,1.2655,3.0
YKL118W,-0.264,-0.218,-0.612,-0.477,-0.566,-0.248,-0.549,-0.559
YOL010W,-2.366,-2.371,-2.972,7.476,-3.252,-1.282,-0.835,-0.127
YNL064C,1.086,1.529,1.051,0.652,0.47,0.146,0.536,0.437
YJR104C,2.032,2.794,1.526,1.9435,1.508,2.0845,0.3741,1.847
YFR024C-A,3.1889,3.488,1.585,3.744,0.737,2.585,1.568,1.585
YMR090W,1.065,2.465,3.078,3.094,2.946,1.72,1.101,0.68
YAL033W,0.388,-0.1505,-0.6155,0.3205,-1.3415,-1.2365,-0.5525,-0.3835
YOL134C,0.752,1.188,0.63,0.869,0.707,-0.166,0.241,0.389
YOR015W,-0.3845,0.543,0.4885,1.524,-0.12,-0.0005,-0.636,-0.694
YOR234C,-0.922,-1.433,-1.963,-0.023,-1.677,-1.558,-0.686,-0.378
YDL150W,-1.445,-3.196,-2.77,-2.172,-2.043,-0.978,-0.622,-0.605
YKL171W,1.032,1.17,1.119,1.1386,0.571,0.751,0.337,0.242
YLR168C,1.236,2.091,1.569,1.6588,1.552,0.835,0.525,0.663
YOL062C,-0.263,0.259,0.187,0.031,-0.059,-0.345,-0.374,-0.346
YNL193W,0.869,1.303,1.047,0.761,0.698,0.3303,0.79,1.035
YLR140W,0.124,0.408,0.39,1.084,-0.41,0.31,-0.283,-0.338
YDL217C,2.409,1.795,-0.077,1.7624,-0.069,0.585,-1.585,2.533
YLR258W,3.163,4.492,4.617,4.224,4.273,2.738,1.639,1.616
YML049C,0.9565,0.395,-1.301,0.958,0.1235,0.791,-0.0045,-1.0295
YJL099W,1.2473,1.2863,1.7871,1.4543,1.238,1.2287,0.7792,0.2963
YNL119W,-0.575,-1.312,-2.225,-2.168,-2.262,-1.699,-0.868,-0.701
YOL105C,-0.153,0.406,0.692,2.636,0.063,0.1,-0.29,-0.259
YOR308C,-0.398,-0.097,-0.558,-0.111,-0.264,-0.601,0.122,0.062
YAL064W,0.857,0.663,0.238,0.124,-0.946,0.04,-0.737,-0.542
YFR028C,0.024,-0.494,-0.562,0.233,-0.517,-0.309,0.199,0.266
YGR003W,-0.594,-1.042,-0.571,0.205,-0.452,-0.45,-0.138,0.009
YFL067W,-0.047,0.1,0.403,0.211,0.178,0.557,0.343,-0.072
YLR362W,-0.057,0.173,0.579,0.3202,0.145,0.337,0.112,-0.112
YIR017C,1.8315,1.6595,1.576,1.9545,1.692,0.5875,1.0695,0.399
YLL015W,1.2525,0.453,-0.187,-0.1555,-0.05,0.2955,0.112,-0.126
YDL218W,0.43,0.366,0.709,0.465,0.46,0.091,0.246,0.139
YGL165C,0.564,1.423,0.77,0.8357,0.354,0.349,0.361,0.419
YML125C,-0.396,-1.404,-1.191,-1.303,-1.302,-0.524,-0.203,0.079
YPL126W,-0.606,-3.103,-3.932,1.624,-1.959,0.173,0.291,-0.237
YER130C,-0.065,0.469,0.526,0.195,-0.03,0.38,0.57,0.198
YIL062C,0.3635,1.394,1.135,1.087,0.6645,0.606,0.143,0.2985
YGR230W,0.732,1.521,0.298,0.3245,0.368,0.4745,-0.1605,0.3725
YNR035C,0.963,1.729,1.771,1.434,1.411,0.578,0.482,0.536
YOR199W,-0.107,1.191,-0.649,0.183,-0.868,-0.374,-0.232,-0.712
YML047C,0.729,-1.065,-0.711,-0.869,-0.693,-0.668,-0.367,-1.276
YLR199C,-0.226,0.205,0.016,-0.114,0.01,-0.216,-0.282,-0.309
YDR390C,-0.013,-0.155,-0.37,-0.322,-0.381,-0.2255,-0.045,0.265
YHL033C,-0.016,-0.9855,-1.82,-2.2405,-2.059,-1.579,-0.337,-0.3375
YEL075W-A,4.0181,3.9922,1.7,4.776,3.8436,1.379,1.0,1.585
YMR291W,2.806,2.671,3.174,2.6,3.197,1.754,1.023,0.928
YMR162C,1.071,1.284,2.2805,2.4358,1.3005,0.2035,-0.4715,0.843
YPR103W,0.284,0.62,0.651,0.903,0.811,-0.021,0.144,0.026
YNL275W,-0.804,-0.265,-0.304,-0.057,-0.383,-0.731,-0.65,-0.766
YML122C,-0.35,-0.684,-0.886,-0.588,-0.861,-0.507,-0.556,-0.87
YMR101C,0.1845,1.8755,0.8755,2.271,0.7995,0.911,0.9655,0.518
YBL097W,0.5075,0.3505,-0.0335,0.1915,0.2335,-0.574,0.3375,0.4295
YPL140C,0.205,-0.214,0.116,0.382,0.29,0.128,0.555,0.356
YPL085W,2.693,2.8255,2.0346,4.8385,1.2925,1.8775,-0.1466,0.7798
YPL028W,0.122,0.149,-0.058,0.514,-0.459,-0.341,-0.157,-0.312
YKR063C,-0.53,-0.303,-1.326,-0.897,-1.11,-0.698,0.017,0.161
YDR536W,-0.098,0.765,0.646,2.72,0.481,0.231,-0.031,-0.084
YDR008C,0.178,0.77,0.271,0.223,-0.003,-2.441,-0.076,0.074
YPR148C,0.439,0.605,0.308,0.565,0.434,0.078,0.111,0.395
YOL089C,-0.488,0.173,0.003,0.093,-0.331,-0.123,-0.279,-0.179
YOR213C,-1.286,-0.505,-1.141,-1.321,-1.869,-1.027,-1.07,-0.896
YAL013W,0.499,0.753,0.693,0.572,0.323,0.049,0.255,0.07
YHL015W,0.4025,0.2545,-0.858,-1.1665,-1.2755,-1.583,-0.454,-0.247
YMR055C,-0.529,-0.041,0.105,2.47,-0.401,-0.195,0.021,-0.459
YOR080W,-0.333,-0.334,-0.749,-0.231,-0.518,-0.935,-0.155,-0.177
YER175C,-0.488,0.503,1.136,1.056,1.122,0.38,0.358,0.695
YCR060W,0.037,-0.004,-0.38,0.034,-0.274,-0.717,0.838,0.697
YMR125W,-0.485,-1.331,-0.858,-0.581,-0.508,-0.784,-0.503,-0.536
YGR077C,0.127,0.688,1.185,0.702,0.789,0.141,-0.058,0.131
YGL140C,0.308,-0.02,0.182,0.3875,-0.5755,-0.1375,-0.6055,-0.6555
YEL037C,0.032,0.375,0.441,0.157,-0.138,0.245,0.005,-0.15
YGR131W,1.13,0.7825,1.012,0.7825,0.683,0.256,-0.1225,-4.7095
YJL189W,-0.2255,-0.2,-1.379,-1.372,-1.8565,-1.682,-1.0035,-0.443
YDR040C,1.5133,2.429,0.8807,1.2737,1.0627,1.4057,0.7187,-0.0203
YLR347C,-0.0615,-0.4485,0.355,-0.0265,0.1,0.61,0.3925,0.252
YLR054C,1.109,1.102,0.681,0.733,0.038,-0.064,0.06,-0.88
YCL063W,-0.364,-0.484,-0.652,-0.928,-1.231,-1.078,-0.188,-0.007
YJR133W,-0.0795,0.3935,0.108,1.6745,0.2195,0.045,0.2135,0.2655
YNR008W,0.167,-0.095,0.934,0.565,0.494,0.6,0.199,0.258
YJL050W,-0.485,-2.0517,-1.2157,-2.409,-2.0017,-1.4393,-0.4563,-0.459
YDR203W,0.716,1.573,1.177,1.268,1.009,0.39,0.225,0.391
YEL045C,-0.177,0.07,-1.415,1.506,-1.747,-1.163,-1.152,-1.061
YLR124W,0.556,0.385,0.049,-0.465,-0.939,-0.263,0.454,-1.536
YJR132W,-0.358,-2.8555,-1.582,1.456,-1.0285,-0.838,-0.0725,-0.3905
YNL085W,-0.286,-1.212,-0.601,-0.641,-0.586,-0.325,-0.266,-0.295
YOR122C,0.061,0.65,0.902,3.993,0.675,0.109,0.126,-0.032
YKL197C,-0.0315,0.293,0.6125,0.493,0.3265,0.444,0.7535,0.4735
YDR319C,0.066,1.01,1.03,0.455,0.381,0.351,0.078,0.151
YGL076C,-0.31,-1.07,-1.995,1.008,-2.09,-1.909,-0.949,-0.635
YHR067W,-0.358,0.1015,0.253,0.166,-0.3555,0.6515,0.386,0.579
YPL254W,-0.639,-1.163,-0.695,-0.599,-0.62,-0.409,-0.414,-0.639
YOL094C,-0.436,-1.012,-0.125,-1.309,-0.46,-0.513,0.027,-0.484
YER074W,-0.468,-1.428,-2.046,-1.99,-2.01,-1.682,-0.832,-0.495
YHR173C,-0.004,0.507,-0.7775,-1.196,-1.142,-0.8195,-0.2085,-0.194
YHR079C-A,1.456,2.13,-0.9755,0.6705,-0.558,-0.1165,-0.6875,-0.9755
YLR158C,-0.051,0.75,0.47,0.041,-0.122,0.02,-0.234,-0.37
YOR171C,0.007,0.124,0.163,0.041,0.213,-0.397,-0.175,0.034
YNR030W,-0.035,0.057,0.319,0.334,0.446,0.521,0.056,-0.304
YJL064W,0.226,0.014,-0.2275,-0.1875,0.677,-0.51,0.171,-0.0365
YDR200C,0.295,0.404,0.672,0.724,0.861,-0.281,0.408,0.665
YOR272W,-0.589,-2.564,-2.9646,-3.159,-3.645,-2.034,-1.074,-0.81
YDR070C,1.478,2.467,2.806,2.949,2.502,1.324,0.484,0.7885
YGL130W,-0.261,-0.318,0.166,0.331,0.3,0.084,0.092,-0.174
